stuId	tag	university	major	majorCategory
BStkNCrPk3		nice	nice	文系
jG5SZDRirZ		hi	hi	文系
pDxuBJiuA1		hi	hi	文系
Envcst5apK	アパレル,不動産,出版・印刷	hi	hi do em	文系
9N2KjUABte	IT,クレジットカード,電機・自動車,人材・教育,マスコミ	福岡女学院大学	国際キャリア学部	文系
eLicsjSYGT	人材・教育	明治大学	経営学部経営学科	文系
G5iNBLHzTP	ソフトウェア	明治大学	商学部	文系
nsOyvJ1yMu	流通・小売,商社	千葉大学	工学部デザイン学科	理系
m5ifjCzjgE	人材・教育,コンサルティング	立教大学	経済学部経営学科	文系
ShEYDLwAzQ	人材・教育,IT,ソフトウェア	関西学院大学	法学部法律学科	文系
ZXLCXhkypu	化学・石油,コンサルティング,クレジットカード,サービス,農林・水産	押忍	押忍	その他
5Q5vtZClmJ	IT,人材・教育,住宅・建設,商社,食品・飲料,化学・石油,官公庁,証券,銀行・信金,流通・小売,鉄道・航空,サービス,農林・水産,繊維,クレジットカード,ソフトウェア,ホテル・レジャー,アパレル,ゲーム,広告,コンサルティング,電機・自動車,保険,旅行,インフラ,不動産,化粧品・医薬,運輸・物流,マスコミ,出版・印刷	弘前大学	人文学部	文系
mzei4RWC7e		立教大学	経営学部	文系
RvrCbUQdMZ		松蔭大学	経営ビジネス学部 ビジネスマネジメント学科	文系
hiZX5r2uvu		日本体育大学	体育学部社会体育学科	文系
igWYNiNEBa	コンサルティング,人材・教育,IT	九州	建築	文系
7nqCCBhdcE	不動産	stoooc	director	文系
5PGZ1zQ5xx	IT,コンサルティング,人材・教育	立命館アジア太平洋大学	国際経営学部国際経営学科	文系
OZAERtmIvC	商社,銀行・信金,IT,ソフトウェア,コンサルティング,人材・教育	一橋大学	経済学部経済学科	文系
aFNUnePzKW	IT,人材・教育,広告,住宅・建設,ソフトウェア,電機・自動車,コンサルティング,不動産,出版・印刷,マスコミ,旅行,ホテル・レジャー	早稲田大学	スポーツ科学部	文系
orREnjPZYz	商社,流通・小売,証券,IT,コンサルティング,広告,インフラ,運輸・物流,鉄道・航空,化学・石油	中央大学	経済学部経済学科	文系
KvzO1Mj30Z		慶應義塾大学	商学部	文系
YyK64NwHil	コンサルティング	東京大学	法学部	文系
tYTLvTHKTB		兵庫県立大学	環境人間学部	理系
XV2CzgrLRg		立命館大学	経済学部経済学科	文系
stJL3ShQ8l	化粧品・医薬,電機・自動車,化学・石油,商社,流通・小売,コンサルティング,クレジットカード,鉄道・航空,インフラ,運輸・物流	明治大学	国際日本	文系
C6gnrJfZKl	コンサルティング,広告	プロフリーター学院大学	プロフリーター学部ご飯奢られ学科	その他
fse6sqla4g	化粧品・医薬	佐賀大学	医学部医学科	理系
g1dNTxjXMx		奈良県立大学	地域創造学部地域創造学科	その他
p6DULL2SXJ		琉球大学	農学部亜熱帯生物資源科学科	理系
H3EUw8lguF		国際武道大学	体育学部体育学科	文系
UFVbYodP3w		青山学院大学	教育人間科学部教育学科	文系
qARSKp4s0I		福岡工業大学	工学部生命環境工学部	理系
wvWev78DA8		佐賀大学	経済学部	理系
HG98nDywi2		麗澤大学	経済学部経済学科	文系
YkiJLuwV8Y		京都女子大学	家政学部生活造形学科	文系
15IhnBl90t	IT,広告,人材・教育,マスコミ	駒澤大学	GMS学部GM学科	文系
gh2W7OrxfA		鹿児島大学	工学部環境化学プロセス工学科	理系
sENPcDLeu9	銀行・信金,証券,クレジットカード,不動産,運輸・物流,商社	関西大学	法学部	文系
LsZlBeLpiE		関西学院大学	法律学部法律学科	文系
XM5pHw3ZvR	商社,コンサルティング,人材・教育,化粧品・医薬,食品・飲料	慶應義塾大学	経済学部	文系
08conisk4v		東洋大学	経営学部経営学科	文系
G3n5xQLrpo		立教大学	観光学部観光学科	文系
Bxhc3BchfA		明治大学	情報コミュニケーション学部	文系
HkgdxzJoaO	アパレル,不動産,サービス	明海大学	経済学部経済学科	文系
uzfM1MSEkJ	商社,食品・飲料,化学・石油,銀行・信金,官公庁,鉄道・航空,繊維,ソフトウェア,IT,ホテル・レジャー,アパレル,コンサルティング,広告,旅行,人材・教育,インフラ,化粧品・医薬,マスコミ,出版・印刷	横浜国立大学大学院	教育学研究科	その他
63xDJA4QlO	農林・水産,コンサルティング,人材・教育,ゲーム,流通・小売,食品・飲料	東京農業大学	農学部 バイオセラピー学科	理系
BRwW9GD4hk		専修大学	法学部法律学科	文系
buuYBEmuI1	鉄道・航空,IT	東京理科大学	工学部機械工学科	理系
FxN2q5I75o		獨協大学	経済学部 経営学科	文系
kavQ5ElwnD	食品・飲料	日本大学	生物資源科学部 国際地域開発学科	理系
slXbTpCnOi	人材・教育,コンサルティング	玉川大学	教育	その他
JIhzOqTLRS		東洋大学	経済学部経済学科	文系
kS4sfD8KbN	人材・教育,コンサルティング	神奈川大学	法学部法律学科	文系
GcKKn170Ok		大阪大学	工学部	理系
EKugA7rsNo		法政大学	理工学部経営システム工学科	理系
762ESpuhLs	住宅・建設,不動産	東京経済大学	経営学部 経営学科	文系
RvF5eoldvG	商社,IT,コンサルティング,運輸・物流	東京海洋大学	海洋工学部	理系
Sak8Ean7Yj	IT,ゲーム,ホテル・レジャー,コンサルティング,広告,旅行,人材・教育,マスコミ	中央大学	商学部経営学科フレックスplus1	文系
rZnYd0KIMq	コンサルティング,IT	専修大学	経営学部経営学科	文系
wX4nyXU8ag		埼玉大学大学院	教育学研究科	その他
VC0VydNcgI		立命館大学大学院	経済学研究科	文系
VzncB55bx0	化粧品・医薬,出版・印刷,マスコミ,運輸・物流,不動産,インフラ,人材・教育,旅行,保険,電機・自動車,コンサルティング,広告,ゲーム,ホテル・レジャー,アパレル,ソフトウェア,クレジットカード,IT,繊維,農林・水産,サービス,鉄道・航空,流通・小売,銀行・信金,証券,官公庁,化学・石油,商社,住宅・建設,食品・飲料	白鴎	経営・経営	文系
HeydYyRMsU	IT,ソフトウェア,サービス,銀行・信金	中央大学	法学部法律学科	文系
yRk9g4AKAw	旅行	流通科学大学	人間社会学部 観光学科	文系
r7vxSkx2C1	サービス,IT	中央学院大学	商学部商学科	文系
MVINIaebLO	コンサルティング,人材・教育,IT	東洋大学	文学部英米文学科	文系
m1hd8GfZGa		鳥取大学	農学部	理系
QnzDORwbZf		明治大学	国際日本学部国際日本学科	文系
zn5I7wCLpX	マスコミ,出版・印刷,ゲーム	京都情報大学院大学	応用情報技術研究科コンテンツビジネス	理系
